Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,drive.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.drive.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.drive.sentiance.com.txt
http,80,tiles-integration.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.tiles-integration.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.tiles-integration.sentiance.com.txt
http,80,journeys-coaching-preprod.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-coaching-preprod.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.journeys-coaching-preprod.sentiance.com.txt
http,80,firehose-sink.p9.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-coaching-preprod.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.firehose-sink.p9.sentiance.com.txt
http,80,preprod-firehose.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.preprod-firehose.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-firehose.sentiance.com.txt
http,80,jobs.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.jobs.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.jobs.sentiance.com.txt
http,80,preprod-firehose-sink.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-coaching-preprod.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-firehose-sink.sentiance.com.txt
http,80,www.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.sentiance.com.txt
http,80,developers.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.developers.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.developers.sentiance.com.txt
http,80,docs.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.docs.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.docs.sentiance.com.txt
http,80,repository.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.repository.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.repository.sentiance.com.txt
http,80,sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.sentiance.com.txt
http,80,sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.sentiance.com.txt
http,80,www.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.sentiance.com.txt
http,80,firehose.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.firehose.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.firehose.sentiance.com.txt
http,80,www.firehose.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.firehose.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.firehose.sentiance.com.txt
http,80,preprod-firehose.sentiance.com,Successful,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.preprod-firehose.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.preprod-firehose.sentiance.com.txt
http,80,www.preprod-firehose.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.preprod-firehose.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.preprod-firehose.sentiance.com.txt
http,80,sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.sentiance.com.txt
http,80,sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.sentiance.com.txt
http,80,y13.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.y13.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.y13.sentiance.com.txt
http,80,y13.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.y13.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.y13.sentiance.com.txt
http,80,mtls-api.h11.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.mtls-api.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.mtls-api.h11.sentiance.com.txt
http,80,www.mtls-api.h11.sentiance.com,BadStatus,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.www.mtls-api.h11.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.www.mtls-api.h11.sentiance.com.txt
http,80,journeys-api.sentiance.com,Timeout,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/screens/http.journeys-api.sentiance.com.png,/home/Armoo/hunt/fast/sentiance.com/recon/2022-08-08_204435/source/http.journeys-api.sentiance.com.txt
